Department,NO,Name,Credit,Description
AALO,285,Directed Studies,4,"Individual supervision of readings or assigned projects in an Asian Language, selected for each student individually; written or oral reports. Prerequisite: Approval of Arabic and Asian Language Office Director."
AALO,289,Special Topics in...,4,Selected topics in an identified area of an Asian language. May be repeated for credit. Prerequisite: Approval of Arabic and Asian Language Office Director.
AALO,485,Directed Studies,4,Individual supervision of readings or assigned projects selected for each student individually; written or oral reports. Prerequisite: Approval of Arabic and Asian Language Office Director.
AALO,489,Special Topics in...,4,Selected topics in an identified area of an Asian language. May be repeated for credit. Prerequisite: Approval of Arabic and Asian Language Office Director.
ACCT,209,Survey of Accounting Principles,3,"Accounting survey for non-business majors; non-technical accounting procedures, preparation and interpretation of financial statements and internal control. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis."
ACCT,210,Survey of Managerial and Cost Accounting Principles,3,"A survey of managerial and cost accounting for non-business majors; accounting responsibility of the manager, job and process cost systems, budgeting, cost-volume-profit analysis for decision-making. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis. Prerequisite: ACCT 209."
ACCT,229,Introductory Accounting,3,"(ACCT 2301, 2401) Introductory Accounting.   Analysis, recording and reporting of business transactions; partnership and corporation accounting; analysis and use of financial statements. Prerequisite: Sophomore classification."
ACCT,230,Introductory Accounting,3,"(ACCT 2302, 2402) Introductory Accounting.   Continuation of ACCT 229. Use of budgets; introduction to cost accounting; cost control techniques and methods of measuring performance. Prerequisites: ACCT 229 and sophomore classification."
ACCT,310,N/A,2,N/A
ACCT,315,Intermediate Accounting for Non-Accounting Majors I,3,"Revenue recognition, principles of asset valuation, and disclosure requirements for corporations; interpretation of financial statements, rather than their preparation. May not be used as a directed or free elective for accounting majors and does not count towards the accounting requirement for the CPA exam. Prerequisite: ACCT 230 and admission to upper division in Mays Business School."
ACCT,316,Intermediate Accounting for Non-Accounting Majors II,3,"Includes the measurement and disclosure requirements for liabilities and stockholders' equity, SEC registration statements, and cash flow reporting; focus on the analysis and interpretation of financial statements rather than their preparation.  Does not qualify as a directed or free elective for accounting majors and does not count towards the accounting requirement for the CPA exam. Prerequisite: ACCT 315 or ACCT 327."
ACCT,320,Accounting Communications,3,Development of oral and written communication skills prerequisite to successful careers in public and corporate accounting. Prerequisite: Admission to Professional Program.
ACCT,321,Professional Development Seminar,2,Exposure to professional issues of professional accounting practice using a workshop format. Prerequisite: Admission to Professional Program.
ACCT,322,Professional Development Seminar BBA,1,"Exposure to professional issues in the practice of accounting, including potential careers and employers. Prerequisite: ACCT 327 with a grade of C or better."
ACCT,327,Financial Reporting I,3,Study of theoretical basis for financial accounting concepts and principles related to financial reporting; emphasizing income measurement and accounting for assets. BBA accounting majors must earn a minimum grade of C for graduation. Prerequisite: ACCT 230 and admission to upper division in Mays Business School.
ACCT,328,Financial Reporting II,3,"Continued study of accounting concepts and principles related to reporting long-debt and owners' equity; including reporting issues of leases, retirement benefits, income taxes and international accounting standards. Prerequisite: ACCT 327 with a grade of C or better."
ACCT,329,Cost Management and Analysis,3,"Theory, concepts and methods relating to use of information and design of systems to aid managers in planning, controlling, decision making, evaluating performance and reporting financial results. Prerequisite: ACCT 315 or ACCT 327 with a grade of C or better."
ACCT,403,Energy Accounting,3,"Overview of the oil and gas industry and specialized financial accounting procedures associated with the industry; emphasis on accounting for exploration, development, production, depletion and amortization, joint operations, asset impairment and retirement obligation; includes reserve accounting/disclosure related to the above topics. Prerequisite: ACCT 327 with C or better."
ACCT,405,Income Tax,3,Introduction to federal income tax legislation pertaining primarily to corporations and individuals. Prerequisite: ACCT 327 with a grade of C or better.
ACCT,407,Auditing,3,"Introduction to auditing theory and procedures pertaining to financial statements, in the context of both external auditing, by certified public accountants, and internal auditing; preparation of working papers. Prerequisite: ACCT 327 with a grade of C or better."
ACCT,408,Internal Auditing,3,Reading and evaluation of current theory and procedures used by internal auditors; selected case studies; statistical methods of forming auditing judgment. Prerequisite: ACCT 327 with a grade of C or better.
ACCT,410,Fraud Examination,3,"Principles and methodologies of detecting and deterring fraud using accounting, auditing, and investigative skills; includes skimming, larceny, misappropriations, fraudulent statements, interviewing witnesses and support for litigation. Prerequisites: ACCT 327 with a grade of C or better; junior or senior classification."
ACCT,421,Critical Communication Skills for Accountants,2,Development of oral and written communication skills prerequisite to successful careers in public and corporate accounting. Prerequisite: ACCT 327 with a grade of C or better.
ACCT,425,Corporate Tax Planning,3,Integration of tax regulations into overall corporate finance planning and decision making cycle. Prerequisite: ACCT 405.
ACCT,426,Taxation of Low-Income Filers,3,Overview of the Federal income tax and its impact on low-income filers; includes socio-economic forces impacting low-income families and individuals; topics explored through community service and academic learning. Prerequisites: Admission to upper division in Mays Business School and approval of instructor.
