Department,NO,Name,Credit,Description,is_fall,is_spring,is_summer
ACCT,209,Survey of Accounting Principles,3,"Accounting survey for non-business majors; non-technical accounting procedures, preparation and interpretation of financial statements and internal control. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis.",TRUE,TRUE,TRUE
ACCT,210,Survey of Managerial and Cost Accounting Principles,3,"A survey of managerial and cost accounting for non-business majors; accounting responsibility of the manager, job and process cost systems, budgeting, cost-volume-profit analysis for decision-making. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis. Prerequisite: ACCT 209.",TRUE,TRUE,TRUE
ACCT,229,Introductory Accounting,3,"(ACCT 2301, 2401) Introductory Accounting.   Analysis, recording and reporting of business transactions; partnership and corporation accounting; analysis and use of financial statements. Prerequisite: Sophomore classification.",TRUE,TRUE,TRUE
ACCT,230,Introductory Accounting,3,"(ACCT 2302, 2402) Introductory Accounting.   Continuation of ACCT 229. Use of budgets; introduction to cost accounting; cost control techniques and methods of measuring performance. Prerequisites: ACCT 229 and sophomore classification.",TRUE,TRUE,TRUE
ACCT,315,Intermediate Accounting for Non-Accounting Majors I,3,"Revenue recognition, principles of asset valuation, and disclosure requirements for corporations; interpretation of financial statements, rather than their preparation. May not be used as a directed or free elective for accounting majors and does not count towards the accounting requirement for the CPA exam. Prerequisite: ACCT 230 and admission to upper division in Mays Business School.",TRUE,TRUE,TRUE
ACCT,316,Intermediate Accounting for Non-Accounting Majors II,3,"Includes the measurement and disclosure requirements for liabilities and stockholders' equity, SEC registration statements, and cash flow reporting; focus on the analysis and interpretation of financial statements rather than their preparation.  Does not qualify as a directed or free elective for accounting majors and does not count towards the accounting requirement for the CPA exam. Prerequisite: ACCT 315 or ACCT 327.",TRUE,TRUE,TRUE
ACCT,321,Professional Development Seminar,2,Exposure to professional issues of professional accounting practice using a workshop format. Prerequisite: Admission to Professional Program.,FALSE,TRUE,TRUE
ACCT,322,Professional Development Seminar BBA,1,"Exposure to professional issues in the practice of accounting, including potential careers and employers. Prerequisite: ACCT 327 with a grade of C or better.",FALSE,TRUE,FALSE
ACCT,327,Financial Reporting I,3,Study of theoretical basis for financial accounting concepts and principles related to financial reporting; emphasizing income measurement and accounting for assets. BBA accounting majors must earn a minimum grade of C for graduation. Prerequisite: ACCT 230 and admission to upper division in Mays Business School.,TRUE,TRUE,TRUE
ACCT,328,Financial Reporting II,3,"Continued study of accounting concepts and principles related to reporting long-debt and owners' equity; including reporting issues of leases, retirement benefits, income taxes and international accounting standards. Prerequisite: ACCT 327 with a grade of C or better.",TRUE,TRUE,TRUE
ACCT,329,Cost Management and Analysis,3,"Theory, concepts and methods relating to use of information and design of systems to aid managers in planning, controlling, decision making, evaluating performance and reporting financial results. Prerequisite: ACCT 315 or ACCT 327 with a grade of C or better.",TRUE,TRUE,TRUE
ACCT,403,Energy Accounting,3,"Overview of the oil and gas industry and specialized financial accounting procedures associated with the industry; emphasis on accounting for exploration, development, production, depletion and amortization, joint operations, asset impairment and retirement obligation; includes reserve accounting/disclosure related to the above topics. Prerequisite: ACCT 327 with C or better.",FALSE,TRUE,TRUE
ACCT,405,Income Tax,3,Introduction to federal income tax legislation pertaining primarily to corporations and individuals. Prerequisite: ACCT 327 with a grade of C or better.,TRUE,TRUE,TRUE
ACCT,407,Auditing,3,"Introduction to auditing theory and procedures pertaining to financial statements, in the context of both external auditing, by certified public accountants, and internal auditing; preparation of working papers. Prerequisite: ACCT 327 with a grade of C or better.",TRUE,TRUE,TRUE
ACCT,408,Internal Auditing,3,Reading and evaluation of current theory and procedures used by internal auditors; selected case studies; statistical methods of forming auditing judgment. Prerequisite: ACCT 327 with a grade of C or better.,TRUE,FALSE,FALSE
ACCT,410,Fraud Examination,3,"Principles and methodologies of detecting and deterring fraud using accounting, auditing, and investigative skills; includes skimming, larceny, misappropriations, fraudulent statements, interviewing witnesses and support for litigation. Prerequisites: ACCT 327 with a grade of C or better; junior or senior classification.",FALSE,TRUE,FALSE
ACCT,421,Critical Communication Skills for Accountants,2,Development of oral and written communication skills prerequisite to successful careers in public and corporate accounting. Prerequisite: ACCT 327 with a grade of C or better.,TRUE,TRUE,TRUE
ACCT,427,Accounting and Financial Information Systems,3,"Overall data flow systems emphasizing financial data and computerized systems, for accounting majors; flow and logic concepts, developing meaningful control concepts and data reporting techniques. Prerequisite: ACCT 327 with a grade of C or better.",TRUE,TRUE,TRUE
ACCT,445,International Accounting,3,Introduction and examination of accounting issues unique to multinational enterprises and international business activity. Prerequisites: ACCT 315 or ACCT 327; FINC 341. Cross Listing: IBUS 445/ACCT 445.,FALSE,TRUE,TRUE
ACCT,447,Financial Statement Analysis,3,"Development of an analytical approach to financial statements, integrating relevant finance and accounting concepts and principles; current topics in financial analysis. Prerequisites: ACCT 315 or ACCT 327; FINC 341 with a grade of C or better. Cross Listing: FINC 447/ACCT 447.",TRUE,TRUE,FALSE
ACCT,450,Accounting Ethics,3,"Integration of ethical reasoning, objectivity, independence and other core values into the development of a professional accountant; critical analysis of the ethical lapses which have occurred in business and the accounting profession; exploring ways to integrate ethical behavior into professional life. Prerequisites: ACCT 328; junior or senior classification.",FALSE,TRUE,TRUE
ACCT,485,Directed Studies,3,Directed study of selected problems in the area of accounting not covered in other courses. Prerequisites: Accounting major and approval of department head.,FALSE,TRUE,FALSE
