Department,NO,Section,Instructor,College,Semester,Year,A,B,C,D,F,Q,GPA,NOStudent
ACCT,209,501,STASNY M,BA,Fall,2013,19.39%,38.55%,37.85%,3.27%,0.93%,4.44%,2.722,428
ACCT,209,501,STASNY M,BA,Spring,2013,17.05%,41.47%,32.26%,5.53%,3.69%,2.30%,2.627,434
ACCT,209,100,STASNY M,BA,Summer,2013,10.53%,43.27%,42.11%,2.34%,1.75%,0.58%,2.585,171
ACCT,209,501,STASNY M,BA,Fall,2014,21.36%,40.61%,35.21%,1.17%,1.64%,6.34%,2.789,426
ACCT,209,501,STASNY M,BA,Spring,2014,21.05%,42.34%,33.01%,2.15%,1.44%,6.94%,2.794,418
ACCT,209,100,STASNY M,BA,Summer,2014,22.09%,34.36%,41.72%,0.61%,1.23%,1.23%,2.755,163
ACCT,209,501,STASNY M,BA,Fall,2015,16.63%,40.65%,41.34%,0.69%,0.69%,4.39%,2.718,433
ACCT,209,501,STASNY M,BA,Spring,2015,17.95%,42.42%,38.23%,0.47%,0.93%,4.90%,2.76,429
ACCT,209,100,STASNY M,BA,Summer,2015,29.35%,47.83%,21.74%,1.09%,0.00%,1.09%,3.054,92
ACCT,209,501,STASNY M,BA,Spring,2016,19.73%,33.18%,43.50%,2.91%,0.67%,2.47%,2.684,446
ACCT,210,501,STRAWSER R,BA,Fall,2013,22.41%,43.10%,18.97%,13.79%,1.72%,10.34%,2.707,58
ACCT,210,501,STRAWSER R,BA,Spring,2013,31.48%,16.67%,33.33%,11.11%,7.41%,1.85%,2.537,54
ACCT,210,200,ALLEN N,BA,Summer,2013,20.00%,36.67%,36.67%,6.67%,0.00%,10.00%,2.7,30
ACCT,210,500,ALLEN N,BA,Fall,2014,21.70%,45.28%,27.36%,4.72%,0.94%,16.04%,2.821,106
ACCT,210,501,ALLEN N,BA,Spring,2014,27.40%,36.99%,26.03%,8.22%,1.37%,5.48%,2.808,73
ACCT,210,200,ALLEN N,BA,Summer,2014,23.33%,33.33%,40.00%,3.33%,0.00%,3.33%,2.767,30
ACCT,210,500,ALLEN N,BA,Fall,2015,29.20%,29.20%,27.43%,9.73%,4.42%,15.04%,2.69,113
ACCT,210,501,ALLEN N,BA,Spring,2015,25.00%,37.04%,31.48%,6.48%,0.00%,6.48%,2.806,108
ACCT,210,200,ALLEN N,BA,Summer,2015,30.00%,35.00%,12.50%,15.00%,7.50%,2.50%,2.65,40
ACCT,210,501,ALLEN N,BA,Spring,2016,25.00%,31.62%,36.03%,5.88%,1.47%,9.56%,2.728,136
ACCT,229,201,BENJAMIN J,BA,Fall,2013,58.06%,38.71%,3.23%,0.00%,0.00%,0.00%,3.548,31
ACCT,229,200,KNOOP J,BA,Spring,2013,52.94%,47.06%,0.00%,0.00%,0.00%,0.00%,3.529,34
ACCT,229,100,DEER S,BA,Summer,2013,26.09%,39.13%,30.43%,4.35%,0.00%,4.35%,2.87,23
ACCT,229,201,BENJAMIN J,BA,Fall,2014,53.85%,46.15%,0.00%,0.00%,0.00%,0.00%,3.538,26
ACCT,229,200,KNOOP J,BA,Spring,2014,59.38%,31.25%,9.38%,0.00%,0.00%,6.25%,3.5,32
ACCT,229,100,FOSTER C,BA,Summer,2014,20.51%,33.33%,30.77%,15.38%,0.00%,2.56%,2.59,39
ACCT,229,201,BENJAMIN J,BA,Fall,2015,67.86%,25.00%,7.14%,0.00%,0.00%,0.00%,3.607,28
ACCT,229,501,BARRETT J,BA,Fall,2015,23.53%,38.24%,26.47%,11.76%,0.00%,35.29%,2.735,34
ACCT,229,503,BARRETT J,BA,Fall,2015,5.45%,49.09%,30.91%,12.73%,1.82%,12.73%,2.436,55
ACCT,229,505,CLARKE M,BA,Fall,2015,2.94%,52.94%,26.47%,17.65%,0.00%,23.53%,2.412,34
ACCT,229,508,RAY K,BA,Fall,2015,20.41%,38.78%,34.69%,2.04%,4.08%,16.33%,2.694,49
ACCT,229,510,KNOOP J,BA,Fall,2015,30.91%,41.82%,16.36%,9.09%,1.82%,18.18%,2.909,55
ACCT,229,512,NAFSTAD A,BA,Fall,2015,20.83%,33.33%,31.25%,12.50%,2.08%,22.92%,2.583,48
ACCT,229,200,KNOOP J,BA,Spring,2015,53.12%,40.62%,6.25%,0.00%,0.00%,6.25%,3.469,32
ACCT,229,502,BARRETT J,BA,Spring,2015,17.07%,46.34%,28.05%,7.32%,1.22%,18.29%,2.707,82
ACCT,229,505,CLARKE M,BA,Spring,2015,21.82%,27.27%,32.73%,10.91%,7.27%,10.91%,2.454,55
ACCT,229,509,KNOOP J,BA,Spring,2015,15.52%,36.21%,41.38%,5.17%,1.72%,12.07%,2.586,58
ACCT,229,100,JOSEFY A,BA,Summer,2015,41.67%,37.50%,12.50%,4.17%,4.17%,0.00%,3.083,24
ACCT,229,200,KNOOP J,BA,Spring,2016,59.38%,25.00%,15.62%,0.00%,0.00%,6.25%,3.438,32
ACCT,230,201,ALLEN N,BA,Fall,2013,79.17%,16.67%,4.17%,0.00%,0.00%,0.00%,3.75,24
ACCT,230,201,MCGOWAN A,BA,Spring,2013,58.33%,37.50%,0.00%,4.17%,0.00%,0.00%,3.5,24
ACCT,230,200,ALLEN N,BA,Summer,2013,27.87%,37.70%,21.31%,13.11%,0.00%,1.64%,2.803,61
